;id     |tallennuksen id 	|Pellon nimi  	|Maanmuokkaus   |MaanmuokkausTehty		|Kylvetty vilja	|KylvöTehty 	|Lannoitus		|LannoitusTehty 	|Rikkaruohot	|RikkaruohotTehty	|Korjuu		|KorjuuTehty
1|4|Pelto 32|Kultivointi|true|Maissi|true|Kerta vielä|true|Poisto kylvön jälkeen ruiskuttamalla|true|Puinti|false
2|4|Pelto 33 N|Nurmi pelto|true|Nurmi|true|Kerran paalauksen jälkeen|true|Ei tarvetta|true|Niito tehty, paalaus|true
3|4|Pelto 33 S|Nurmi pelto|true|Nurmi|true|Kerran paalauksen jälkeen|true|Ei tarvetta|true|Niitto ja paalien keräys|true
4|4|Pelto 35|Alfalfa pelto|true|Alfalfa|true|Kerran paalauksen jälkeen|true|Ei tarvetta|true|Niito tehty, paalaus|true
5|2|Pelto 10|Mulching, suorakylvö|false|Oat|false|Kerta ensimmäisen kasvun jälkeen|false|Ruiskutus kylvön jälkeen|false|Puinti|false
6|2|Pelto 02|Mulching, suorakylvö|false|Linseed|false|Kerta ensimmäisen kasvun jälkeen|false|Ruiskutus kylvön jälkeen|false|Puinti|false
7|2|Pelto 05+06+07|Yhteen kyntö, lime ja kultivointi|false|soybean|false|Kerta ensimmäisen kasvun jälkeen|false|Ruiskutus kylvön jälkeen|false|Puinti|false
8|2|Pelto 17|Mulching, suorakylvö|false|Canola|false|Kerta ensimmäisen kasvun jälkeen|false|Ruiskutus kylvön jälkeen|false|Puinti|false
9|5|Pelto 60|Kyntö|true|Sorghum, april|false|Kuivalantaa ennen kylvöä, sitten ensimmäisen kasvun jälkeen|false|Poisto ruiskuttamalla|false|Puinti|false
10|5|Pelto 29|Kyntö|true|Linseed, march|false|Kuivalantaa ennen kylvöä, sitten ensimmäisen kasvun jälkeen|false|Poisto ruiskuttamalla|false|Puinti|false
11|5|Pelto 57|Kyntö|true|Oat, march|false|Kuivalantaa ennen kylvöä, sitten ensimmäisen kasvun jälkeen|false|Poisto ruiskuttamalla|false|Puinti|false
12|5|Pelto 56|Kyntö|true|Sorghum, april|false|Kuivalantaa ennen kylvöä, sitten ensimmäisen kasvun jälkeen|false|Poisto ruiskuttamalla|false|Puinti|false
13|5|Pelto 28|Kyntö|true|Soybean, april|false|Kuivalantaa ennen kylvöä, sitten ensimmäisen kasvun jälkeen|false|Poisto ruiskuttamalla|false|Puinti|false
